model,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,class_weight,train_acc,test_acc,gap
RandomForest,300,35.0,8,4,,True,balanced_subsample,0.9992299937288149,0.8146735273243435,0.18455646640447143
RandomForest,300,39.0,2,4,,True,balanced_subsample,0.9992299937288149,0.8146735273243435,0.18455646640447143
RandomForest,200,29.0,4,4,,True,balanced_subsample,0.9992299937288149,0.8139194464158978,0.18531054731291718
RandomForest,200,32.0,4,4,,True,balanced_subsample,0.9992299937288149,0.8139194464158978,0.18531054731291718
RandomForest,100,43.0,5,3,,True,,0.9994443253713097,0.813875088715401,0.18556923665590863
RandomForest,300,31.0,7,4,,True,,0.9992220555198336,0.8135645848119234,0.18565747070791017
RandomForest,200,27.0,4,5,,True,balanced_subsample,0.999039476713264,0.8132984386089425,0.18574103810432152
RandomForest,200,40.0,6,5,,True,balanced_subsample,0.999039476713264,0.8132984386089425,0.18574103810432152
RandomForest,100,24.0,6,6,,False,balanced,0.9988410214887317,0.8128548616039745,0.1859861598847572
RandomForest,300,38.0,2,5,,True,,0.9990474149222452,0.8128548616039745,0.18619255331827078
RandomForest,100,37.0,5,5,,True,balanced_subsample,0.9990474149222452,0.8127661462029808,0.18628126871926443
RandomForest,200,35.0,4,6,,True,balanced_subsample,0.9989283417875259,0.812721788502484,0.18620655328504188
RandomForest,150,28.0,2,6,,True,balanced_subsample,0.9989283417875259,0.8125,0.18642834178752588
RandomForest,100,27.0,10,5,,True,balanced,0.9990236002953014,0.812278211497516,0.18674538879778535
RandomForest,200,40.0,20,5,,True,,0.9987457629809562,0.8122338537970192,0.186511909183937
RandomForest,100,35.0,4,4,,True,,0.9992299937288149,0.8106369765791341,0.1885930171496808
RandomForest,300,40.0,5,6,,True,balanced,0.998904527160582,0.8105926188786373,0.18831190828194466
RandomForest,200,31.0,2,7,,True,balanced,0.9988172068617879,0.8074875798438609,0.191329627017927
RandomForest,100,38.0,7,5,,True,,0.9990315385042826,0.8067334989354152,0.19229803956886737
RandomForest,300,31.0,6,7,,True,balanced_subsample,0.9988013304438252,0.8066004258339248,0.19220090460990047
RandomForest,100,34.0,8,1,,True,balanced,0.9996665952227858,0.806334279630944,0.19333231559184183
RandomForest,150,19.0,10,7,,True,balanced,0.9987775158168813,0.8059794180269695,0.19279809778991186
RandomForest,300,32.0,3,6,,True,,0.9988807125336382,0.8052253371185237,0.19365537541511446
RandomForest,100,40.0,8,6,,True,,0.9988648361156756,0.8050922640170334,0.19377257209864218
RandomForest,150,30.0,19,10,,False,balanced,0.9984441110396672,0.8048704755145494,0.19357363552511786
RandomForest,150,32.0,5,1,,False,balanced,0.9997856683575052,0.8039833215046132,0.195802346852892
RandomForest,300,34.0,7,1,,False,balanced,0.9996665952227858,0.8038946061036196,0.19577198911916616
RandomForest,300,39.0,6,1,,True,balanced_subsample,0.9997380391036175,0.8038946061036196,0.19584343299999785
RandomForest,300,25.0,8,8,,False,balanced,0.998602875219293,0.8038502484031228,0.19475262681617023
RandomForest,150,29.0,6,3,,False,,0.9994760782072348,0.803584102200142,0.19589197600709285
RandomForest,100,33.0,4,8,,True,balanced,0.9986663808911433,0.8031405251951739,0.19552585569596947
RandomForest,100,30.0,3,6,,False,,0.998848959697713,0.8030074520936835,0.19584150760402952
RandomForest,100,32.0,5,8,,True,balanced_subsample,0.9986584426821621,0.8026082327892122,0.19605020989294986
