model,C,solver,class_weight,max_iter,train_acc,test_acc,gap
LogisticRegression,109.2464461909436,liblinear,balanced,2000,0.9761139291752995,0.7572303051809794,0.21888362399432004
LogisticRegression,176276.76655419805,lbfgs,balanced,5000,0.9764314575345511,0.7572303051809794,0.21920115235357163
LogisticRegression,2312.455921432313,lbfgs,,2000,0.975359799322077,0.7571859474804826,0.21817385184159432
LogisticRegression,6545.7951459074,lbfgs,,3000,0.9755185635017027,0.7571859474804826,0.21833261602122012
LogisticRegression,126373.17806341495,lbfgs,,3000,0.9756138220094782,0.7571859474804826,0.2184278745289956
LogisticRegression,3502.4139407272773,liblinear,balanced,3000,0.9760742381303931,0.7571859474804826,0.21888829064991044
LogisticRegression,12791.86369193415,lbfgs,,2000,0.9753677375310582,0.7571415897799858,0.2182261477510724
LogisticRegression,24749.873918781934,lbfgs,,5000,0.9755185635017027,0.7571415897799858,0.21837697372171694
LogisticRegression,215711.30829956362,lbfgs,,3000,0.975717018726235,0.7571415897799858,0.21857542894624915
LogisticRegression,164268.54839203076,liblinear,balanced,2000,0.9760821763393743,0.7571415897799858,0.21894058655938853
LogisticRegression,684.984573674368,liblinear,balanced,2000,0.9761139291752995,0.7571415897799858,0.2189723393953137
LogisticRegression,25710.154430607472,liblinear,balanced,3000,0.9760901145483556,0.757097232079489,0.2189928824688666
LogisticRegression,5796.598436112729,lbfgs,balanced,2000,0.975851968278917,0.7570528743789922,0.2187990938999248
LogisticRegression,13882.894010223645,lbfgs,balanced,3000,0.9763679518627008,0.7570528743789922,0.2193150774837086
LogisticRegression,14591.388826332995,lbfgs,balanced,5000,0.9759154739507673,0.7570085166784953,0.21890695727227194
LogisticRegression,4087.806095994385,liblinear,balanced,2000,0.9760901145483556,0.7570085166784953,0.21908159786986026
LogisticRegression,15952.268905457613,lbfgs,balanced,2000,0.9761774348471498,0.7570085166784953,0.21916891816865447
LogisticRegression,41.009016093720554,lbfgs,balanced,5000,0.9759392885777111,0.7569641589779986,0.21897512959971244
LogisticRegression,221520.31199180085,lbfgs,,2000,0.9754629960388337,0.7569198012775018,0.21854319476133188
LogisticRegression,204188.9613089541,lbfgs,,3000,0.9755503163376279,0.7569198012775018,0.2186305150601261
LogisticRegression,19434.55348605952,lbfgs,,3000,0.9754868106657776,0.756875443577005,0.2186113670887726
LogisticRegression,16440.734933762,liblinear,balanced,5000,0.9760742381303931,0.756875443577005,0.2191987945533881
LogisticRegression,48580.63978005562,lbfgs,balanced,3000,0.976129805593262,0.756875443577005,0.21925436201625703
LogisticRegression,6715.227824278159,liblinear,balanced,5000,0.9760266088765053,0.7568310858765082,0.21919552299999712
LogisticRegression,667.5589981470405,lbfgs,balanced,2000,0.9759789796226176,0.7567867281760113,0.21919225144660626
LogisticRegression,720810.9909428904,liblinear,balanced,2000,0.9760027942495614,0.7567867281760113,0.21921606607355004
LogisticRegression,52752.11339339734,liblinear,balanced,5000,0.9760662999214117,0.7567867281760113,0.21927957174540036
LogisticRegression,42856.93624759421,lbfgs,,5000,0.9753439229041144,0.7567423704755145,0.2186015524285999
LogisticRegression,590584.3016373556,liblinear,balanced,2000,0.9759472267866924,0.7567423704755145,0.21920485631117792
LogisticRegression,19083.246936632044,lbfgs,,3000,0.9754629960388337,0.7566980127750177,0.218764983263816
LogisticRegression,297042.322819631,lbfgs,,5000,0.975415366784946,0.7566092973740242,0.21880606941092184
LogisticRegression,123695.4472316053,lbfgs,,3000,0.9753280464861518,0.7565649396735273,0.21876310681262445
LogisticRegression,123276.03328537423,lbfgs,,5000,0.9754391814118899,0.7565649396735273,0.21887424173836256
LogisticRegression,92188.52974802976,lbfgs,,2000,0.9753042318592079,0.7565205819730305,0.21878364988617738
LogisticRegression,3.5783059085025273,lbfgs,balanced,2000,0.9752724790232827,0.75638750887154,0.21888497015174269
LogisticRegression,23299.98724116375,lbfgs,,3000,0.9754312432029085,0.75638750887154,0.21904373433136848
LogisticRegression,21616.439978846975,lbfgs,,3000,0.9753042318592079,0.7562987934705465,0.21900543838866138
LogisticRegression,61610.418965969344,lbfgs,,3000,0.9753756757400396,0.7562987934705465,0.21907688226949307
LogisticRegression,6681.38806912031,lbfgs,balanced,3000,0.9759392885777111,0.7562987934705465,0.21964049510716455
LogisticRegression,20380.883124872656,lbfgs,balanced,5000,0.9759392885777111,0.7562987934705465,0.21964049510716455
LogisticRegression,168608.2603688927,lbfgs,balanced,2000,0.9759392885777111,0.7562987934705465,0.21964049510716455
LogisticRegression,11957.763484173707,lbfgs,,3000,0.975248664396339,0.7562544357700497,0.21899422862628926
LogisticRegression,139703.70181215077,lbfgs,,2000,0.9751454676795821,0.7562100780695529,0.21893538961002923
LogisticRegression,34572.10303069289,liblinear,,2000,0.9752010351424512,0.7561213626685592,0.21907967247389193
LogisticRegression,120884.97728588717,liblinear,,3000,0.9752089733514324,0.7561213626685592,0.2190876106828732
LogisticRegression,122928.28141747869,liblinear,,2000,0.9752169115604138,0.7561213626685592,0.21909554889185456
LogisticRegression,4315.877841365142,liblinear,,5000,0.9752169115604138,0.7561213626685592,0.21909554889185456
LogisticRegression,215138.81436475372,liblinear,,5000,0.9752169115604138,0.7561213626685592,0.21909554889185456
LogisticRegression,187105.56269099834,liblinear,,3000,0.975224849769395,0.7561213626685592,0.21910348710083583
LogisticRegression,21891.962296334055,liblinear,,3000,0.9752327879783763,0.7561213626685592,0.2191114253098171
LogisticRegression,7966.951653747406,liblinear,,2000,0.9751851587244886,0.7560770049680624,0.21910815375642623
LogisticRegression,11512.591363739803,liblinear,,5000,0.975224849769395,0.7560770049680624,0.21914784480133265
LogisticRegression,11647.906786645784,liblinear,,2000,0.975224849769395,0.7560770049680624,0.21914784480133265
LogisticRegression,61469.6420162584,lbfgs,,5000,0.9752407261873576,0.7560770049680624,0.21916372121929517
LogisticRegression,20394.022532456496,liblinear,,2000,0.9752010351424512,0.7560326472675657,0.21916838787488546
LogisticRegression,5168.712891390414,liblinear,,2000,0.9752089733514324,0.7560326472675657,0.21917632608386672
LogisticRegression,86223.0409800359,liblinear,,2000,0.9752089733514324,0.7560326472675657,0.21917632608386672
