model,C,solver,class_weight,max_iter,train_acc,test_acc,gap,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,n_estimators,max_features,bootstrap
RandomForest,,,balanced_subsample,,0.9992696847737214,0.814806600425834,0.1844630843478873,32.0,10.0,3.0,,,,100.0,,True
RandomForest,,,balanced_subsample,,0.9992299937288148,0.8146735273243435,0.1845564664044714,35.0,8.0,4.0,,,,300.0,,True
RandomForest,,,balanced_subsample,,0.9992299937288148,0.8146735273243435,0.1845564664044714,39.0,2.0,4.0,,,,300.0,,True
DecisionTree,,,,,0.9974042056631184,0.8144073811213627,0.1829968245417556,33.0,6.0,7.0,entropy,random,1e-05,,,
DecisionTree,,,,,0.99575305819501,0.8143630234208659,0.1813900347741441,26.0,2.0,7.0,gini,random,0.0001,,,
DecisionTree,,,,,0.9974359584990434,0.8142743080198722,0.1831616504791712,32.0,10.0,7.0,entropy,random,1e-06,,,
RandomForest,,,balanced_subsample,,0.9992299937288148,0.8139194464158978,0.1853105473129171,29.0,4.0,4.0,,,,200.0,,True
RandomForest,,,balanced_subsample,,0.9992299937288148,0.8139194464158978,0.1853105473129171,32.0,4.0,4.0,,,,200.0,,True
RandomForest,,,,,0.9994443253713096,0.813875088715401,0.1855692366559086,43.0,5.0,3.0,,,,100.0,,True
RandomForest,,,,,0.9992220555198336,0.8135645848119234,0.1856574707079101,31.0,7.0,4.0,,,,300.0,,True
DecisionTree,,,,,0.9944829447580036,0.8133427963094393,0.1811401484485644,30.0,8.0,11.0,gini,random,0.0001,,,
DecisionTree,,,,,0.9948877934160496,0.8133427963094393,0.1815449971066102,33.0,15.0,16.0,gini,random,0.0001,,,
RandomForest,,,balanced_subsample,,0.999039476713264,0.8132984386089425,0.1857410381043215,27.0,4.0,5.0,,,,200.0,,True
RandomForest,,,balanced_subsample,,0.999039476713264,0.8132984386089425,0.1857410381043215,40.0,6.0,5.0,,,,200.0,,True
RandomForest,,,balanced,,0.9988410214887316,0.8128548616039745,0.1859861598847572,24.0,6.0,6.0,,,,100.0,,False
RandomForest,,,,,0.9990474149222452,0.8128548616039745,0.1861925533182707,38.0,2.0,5.0,,,,300.0,,True
RandomForest,,,balanced_subsample,,0.9990474149222452,0.8127661462029808,0.1862812687192644,37.0,5.0,5.0,,,,100.0,,True
DecisionTree,,,,,0.9971422447667356,0.812721788502484,0.1844204562642517,27.0,17.0,7.0,entropy,random,0.0,,,
